h_id;agrupamento;assertividade;fonte;id_estudante;id_fonte;id_questionario;método
639536620dedcfcbae159ab4;False;0,42857142857142855;null;19;18;2;casos
639536620dedcfcbae159ab5;False;1;null;19;19;2;casos
639536630dedcfcbae159ab6;False;0,10869565217391304;null;19;20;2;casos
639536630dedcfcbae159ab7;False;0,13513513513513514;null;19;21;2;casos
639536630dedcfcbae159ab8;False;0,6;null;19;22;2;casos
639536630dedcfcbae159ab9;False;0,375;null;19;23;2;casos
639536640dedcfcbae159aba;False;0,21428571428571427;null;19;24;2;casos
639536640dedcfcbae159abb;False;1;null;19;25;2;casos
639536640dedcfcbae159abc;False;0,5;null;19;26;2;casos
639536640dedcfcbae159abd;False;0,6658168779545591;3;19;Média;2;casos
639536670dedcfcbae159ac7;False;1;null;20;9;2;casos
639536670dedcfcbae159ac8;False;1;null;20;10;2;casos
639536670dedcfcbae159ac9;False;0,6666666666666666;null;20;11;2;casos
639536680dedcfcbae159aca;False;1;null;20;12;2;casos
639536680dedcfcbae159acb;False;1;null;20;13;2;casos
639536680dedcfcbae159acc;False;0,75;null;20;14;2;casos
639536680dedcfcbae159acd;False;1;null;20;15;2;casos
639536680dedcfcbae159ace;False;0,375;null;20;16;2;casos
639536690dedcfcbae159acf;False;1;null;20;17;2;casos
639536690dedcfcbae159ad0;False;0,75;null;20;18;2;casos
639536690dedcfcbae159ad1;False;0,75;null;20;19;2;casos
639536690dedcfcbae159ad2;False;0,6;null;20;20;2;casos
639536690dedcfcbae159ad3;False;1;null;20;21;2;casos
639536690dedcfcbae159ad4;False;0,8;null;20;22;2;casos
6395366a0dedcfcbae159ad5;False;0,4;null;20;23;2;casos
6395366a0dedcfcbae159ad6;False;0,6666666666666666;null;20;24;2;casos
6395366a0dedcfcbae159ad7;False;0,6666666666666666;null;20;25;2;casos
6395366a0dedcfcbae159ad8;False;1;null;20;26;2;casos
6395366a0dedcfcbae159ad9;False;0,8013888888888888;3;20;Média;2;casos
6395366d0dedcfcbae159ae3;False;1;null;21;9;2;casos
6395366e0dedcfcbae159ae4;False;1;null;21;10;2;casos
6395366e0dedcfcbae159ae5;False;0,6666666666666666;null;21;11;2;casos
6395366e0dedcfcbae159ae6;False;1;null;21;12;2;casos
6395366e0dedcfcbae159ae7;False;1;null;21;13;2;casos
6395366e0dedcfcbae159ae8;False;1;null;21;14;2;casos
6395366f0dedcfcbae159ae9;False;1;null;21;15;2;casos
6395366f0dedcfcbae159aea;False;1;null;21;16;2;casos
6395366f0dedcfcbae159aeb;False;1;null;21;17;2;casos
6395366f0dedcfcbae159aec;False;0,25;null;21;18;2;casos
6395366f0dedcfcbae159aed;False;0;null;21;19;2;casos
6395366f0dedcfcbae159aee;False;0;null;21;20;2;casos
6395366f0dedcfcbae159aef;False;0;null;21;21;2;casos
6395366f0dedcfcbae159af0;False;0;null;21;22;2;casos
